contractSymbol,type,expiration,strike,lastTradeDate,lastTradeDateEDT,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOG251205C00365000,call,2025-12-05,365.0,2025-12-01 16:13:42+00:00,2025-12-01 11:13:42 EST,0.01,0.01,0.02,-0.060000002,-85.71429,44.0,289,0.45313046875,False,REGULAR,USD
GOOG251205C00370000,call,2025-12-05,370.0,2025-12-01 18:50:56+00:00,2025-12-01 13:50:56 EST,0.01,0.01,0.02,-0.03,-75.0,18.0,655,0.49219257812500006,False,REGULAR,USD
GOOG251205C00375000,call,2025-12-05,375.0,2025-12-01 16:33:15+00:00,2025-12-01 11:33:15 EST,0.01,0.0,0.01,-0.03,-75.0,11.0,382,0.500005,False,REGULAR,USD
GOOG251205C00380000,call,2025-12-05,380.0,2025-12-01 15:38:13+00:00,2025-12-01 10:38:13 EST,0.01,0.0,0.01,-0.01,-50.0,93.0,40,0.500005,False,REGULAR,USD
GOOG251205C00385000,call,2025-12-05,385.0,2025-12-01 14:52:35+00:00,2025-12-01 09:52:35 EST,0.01,0.0,0.01,0.0,0.0,42.0,512,0.5312546875,False,REGULAR,USD
GOOG251205C00390000,call,2025-12-05,390.0,2025-12-01 15:22:26+00:00,2025-12-01 10:22:26 EST,0.01,0.0,0.01,-0.01,-50.0,129.0,1347,0.5625043750000001,False,REGULAR,USD
GOOG251205C00395000,call,2025-12-05,395.0,2025-11-28 17:23:01+00:00,2025-11-28 12:23:01 EST,0.02,0.0,0.01,0.0,0.0,1.0,200,0.5937540625000001,False,REGULAR,USD
GOOG251205C00400000,call,2025-12-05,400.0,2025-12-01 17:06:36+00:00,2025-12-01 12:06:36 EST,0.01,0.0,0.01,-0.01,-50.0,4.0,282,0.6250037500000001,False,REGULAR,USD
GOOG251205C00405000,call,2025-12-05,405.0,2025-11-28 17:18:33+00:00,2025-11-28 12:18:33 EST,0.01,0.0,0.01,0.0,0.0,1.0,54,0.6562534375000001,False,REGULAR,USD
GOOG251205C00410000,call,2025-12-05,410.0,2025-12-01 14:33:33+00:00,2025-12-01 09:33:33 EST,0.01,0.0,0.01,0.0,0.0,7.0,53,0.6875031250000001,False,REGULAR,USD
GOOG251205C00415000,call,2025-12-05,415.0,2025-11-28 15:28:40+00:00,2025-11-28 10:28:40 EST,0.01,0.0,0.01,0.0,0.0,1.0,2,0.7187528125,False,REGULAR,USD
GOOG251205C00445000,call,2025-12-05,445.0,2025-11-26 14:38:06+00:00,2025-11-26 09:38:06 EST,0.02,0.0,0.01,0.0,0.0,,1,0.87500125,False,REGULAR,USD
GOOG251205P00155000,put,2025-12-05,155.0,2025-11-04 20:21:25+00:00,2025-11-04 15:21:25 EST,0.03,0.0,0.01,0.0,0.0,,4,1.8125009374999999,False,REGULAR,USD
GOOG251205P00170000,put,2025-12-05,170.0,2025-11-20 16:43:09+00:00,2025-11-20 11:43:09 EST,0.01,0.0,0.01,0.0,0.0,2.0,2,1.5937520312499998,False,REGULAR,USD
GOOG251205P00175000,put,2025-12-05,175.0,2025-11-12 17:05:04+00:00,2025-11-12 12:05:04 EST,0.03,0.0,0.01,0.0,0.0,,100,1.5312523437499999,False,REGULAR,USD
